Crop,SeedVariety,Season,SoilType,Soil_pH,WaterRequirement,TemperatureC,RainfallMM,HumidityPercent,State,SowingMonth,HarvestMonth,HarvestTimeDays,CommonDisease,PestControl,FertilizerType,FertilizerKgPerAcre,AverageMarketPriceINR_perKg, 
Jute,Pusa 256,Rabi,Loamy,7.7,Low,19,1244,58,Haryana,May,January,189,Leaf Spot,Chemical Pesticide,Nitrogen,120,92,
Jute,Kufri Pukhraj,Annual,Black Soil,6.3,High,18,1289,85,Odisha,March,November,183,Bacterial Blight,Chemical Pesticide,Compost,99,49,
Jute,Pusa Bold,Zaid,Sandy Loam,6.9,High,29,375,84,Andhra Pradesh,November,March,169,Blight,Integrated Pest Management,Nitrogen,60,94,
Jute,Agrifound Light Red,Annual,Alluvial,5.7,High,32,423,57,Haryana,July,August,136,Wilt,Chemical Pesticide,DAP,71,90,
Jute,MTU1010,Rabi,Sandy Loam,7.3,Low,34,1460,50,Odisha,June,May,97,Mildew,Biological Control,Compost,71,78,
Jute,RHB 121,Rabi,Alluvial,7.2,Medium,21,1966,53,Andhra Pradesh,October,September,200,Blight,Crop Rotation,NPK,36,112,
Jute,Co 0238,Kharif,Black Soil,6.4,Low,22,2187,47,Kerala,March,November,88,Bacterial Blight,Integrated Pest Management,NPK,97,45,
Jute,TAG 24,Rabi,Loamy,6.8,Low,28,918,49,Andhra Pradesh,August,October,195,Blight,Crop Rotation,Nitrogen,76,70,
Jute,PDM 139,Rabi,Black Soil,6.5,Medium,28,1496,64,Haryana,August,July,155,Blight,Integrated Pest Management,NPK,45,96,
Jute,NCS 145 Bt,Annual,Clayey,5.7,Medium,27,2176,70,Telangana,November,June,103,Blight,Chemical Pesticide,Potash,54,28,
Kiwi,Japanese White,Rabi,Clayey,6.2,Low,25,1219,64,Punjab,October,December,159,Rust,Neem Oil Spray,Nitrogen,66,75,
Kiwi,PL 406,Kharif,Sandy Loam,6.6,Medium,20,1795,42,Kerala,December,December,134,Bacterial Blight,Biological Control,DAP,47,128,
Kiwi,Samba Mahsuri,Zaid,Clayey,6.6,Medium,23,1485,61,Maharashtra,January,February,107,Blight,Crop Rotation,NPK,52,32,
Kiwi,CO 2,Zaid,Clayey,6.9,Medium,27,1940,83,Punjab,March,April,98,Wilt,Biological Control,Nitrogen,25,30,
Kiwi,Ganga 5,Annual,Alluvial,6.2,High,24,1235,40,Rajasthan,March,May,184,Wilt,Integrated Pest Management,Compost,112,44,
Kiwi,Morden,Kharif,Alluvial,7.1,Low,20,1354,40,Tamil Nadu,December,December,61,Rust,Integrated Pest Management,DAP,20,12,
Kiwi,GPU 28,Kharif,Alluvial,7.5,Low,24,687,75,Maharashtra,December,August,93,Bacterial Blight,Neem Oil Spray,Potash,61,22,
Kiwi,Co 0118,Zaid,Sandy Loam,6,Medium,31,1871,81,Telangana,June,May,99,Mildew,Chemical Pesticide,Potash,83,32,
Kiwi,Bunny Bt,Zaid,Clayey,7.5,Low,33,404,64,Karnataka,March,December,138,Mildew,Neem Oil Spray,Compost,100,102,
Kiwi,ADT 43,Kharif,Black Soil,6.2,High,33,1155,48,Telangana,September,February,191,Wilt,Chemical Pesticide,DAP,88,105,
Lathyrus,Agrifound Light Red,Annual,Black Soil,7.3,Medium,30,1786,75,Tamil Nadu,December,September,182,Wilt,Biological Control,Compost,108,149,
Lathyrus,MACS 450,Zaid,Black Soil,6.2,High,20,429,64,Karnataka,July,April,186,Bacterial Blight,Crop Rotation,Potash,97,92,
Lathyrus,JG 14,Zaid,Clayey,5.6,Medium,34,592,75,Andhra Pradesh,February,November,136,Leaf Spot,Chemical Pesticide,Compost,39,61,
Lathyrus,PL 639,Kharif,Clayey,7.1,High,37,602,74,Telangana,February,March,85,Rust,Biological Control,Nitrogen,35,58,
Lathyrus,Arka Shirish,Kharif,Loamy,5.9,Medium,24,1535,66,Kerala,October,May,120,Rust,Neem Oil Spray,NPK,46,116,
Lathyrus,RD 2035,Zaid,Clayey,7.1,High,28,937,67,Bihar,June,August,130,Rust,Crop Rotation,DAP,52,109,
Lathyrus,Pratap Makka 5,Rabi,Sandy Loam,7.8,Medium,25,520,52,Kerala,July,July,75,Wilt,Biological Control,Nitrogen,44,18,
Lathyrus,KBSH 41,Rabi,Black Soil,5.6,Medium,32,2031,90,Andhra Pradesh,April,June,200,Leaf Spot,Neem Oil Spray,Compost,25,75,
Lathyrus,RD 2668,Rabi,Sandy Loam,6.5,Low,30,807,44,Tamil Nadu,June,November,82,Leaf Spot,Biological Control,Compost,109,58,
Lathyrus,PL 406,Zaid,Sandy Loam,7.1,High,26,2113,63,Bihar,February,April,95,Wilt,Integrated Pest Management,Nitrogen,71,24,
Lemongrass,Indaf 9,Rabi,Alluvial,6.1,Low,37,591,85,Uttar Pradesh,June,January,118,Leaf Spot,Biological Control,DAP,115,61,
Lemongrass,Pusa Basmati 1121,Rabi,Black Soil,7.7,High,38,977,56,Punjab,December,July,149,Rust,Biological Control,Nitrogen,37,107,
Lemongrass,Pusa Ruby,Kharif,Black Soil,6.8,Medium,35,518,63,Kerala,August,September,135,Rust,Neem Oil Spray,DAP,39,142,
Lemongrass,ML 365,Kharif,Black Soil,7.4,Medium,32,2162,54,Karnataka,January,October,70,Leaf Spot,Integrated Pest Management,NPK,114,49,
Lemongrass,Pusa Rohini,Zaid,Black Soil,6.3,Low,30,301,89,Bihar,April,August,105,Rust,Integrated Pest Management,Potash,92,119,
Lemongrass,Kalyan Sona,Rabi,Black Soil,6.9,High,26,1907,59,Haryana,October,February,86,Rust,Integrated Pest Management,Nitrogen,69,71,
Lemongrass,Pusa Vishal,Annual,Black Soil,7,Medium,27,1614,66,Madhya Pradesh,August,July,116,Rust,Biological Control,Nitrogen,111,99,
Lemongrass,Co 86032,Kharif,Clayey,7.3,Low,22,2174,41,Maharashtra,January,February,145,Blight,Neem Oil Spray,DAP,54,108,
Lemongrass,Kufri Pukhraj,Zaid,Alluvial,6.5,Medium,37,1503,61,Uttar Pradesh,October,January,125,Mildew,Chemical Pesticide,Nitrogen,62,59,
Lemongrass,Arka Anamika,Rabi,Sandy Loam,6.5,Medium,34,777,40,Gujarat,August,February,105,Wilt,Neem Oil Spray,Potash,20,91,
Lentil,CSH 14,Zaid,Alluvial,6,Low,34,682,86,Punjab,September,September,94,Wilt,Biological Control,DAP,46,30,
Lentil,IR64,Kharif,Loamy,5.5,High,33,1895,86,West Bengal,August,March,104,Leaf Spot,Neem Oil Spray,Potash,44,10,
Lentil,Asha,Rabi,Alluvial,6.8,Low,23,405,54,Maharashtra,August,June,193,Mildew,Biological Control,Potash,88,70,
Lentil,Nantes,Rabi,Sandy Loam,7,High,33,1445,44,Telangana,March,August,151,Wilt,Crop Rotation,Compost,23,63,
Lentil,Samba Mahsuri,Kharif,Loamy,6.4,High,27,1163,67,Rajasthan,September,March,105,Rust,Biological Control,NPK,60,92,
Lentil,IR36,Kharif,Black Soil,5.9,High,34,366,76,Punjab,March,August,193,Leaf Spot,Integrated Pest Management,Nitrogen,57,110,
Lentil,Co 0118,Rabi,Alluvial,6,High,21,2160,41,Karnataka,July,May,142,Bacterial Blight,Biological Control,DAP,72,86,
Lentil,Pusa Chetki,Annual,Alluvial,5.9,Low,35,1848,50,Tamil Nadu,May,December,90,Rust,Crop Rotation,NPK,31,140,
Lentil,Pusa Rohini,Kharif,Sandy Loam,6.8,High,29,835,58,Maharashtra,December,January,74,Leaf Spot,Crop Rotation,Potash,95,115,
Lentil,Kufri Jyoti,Rabi,Sandy Loam,6.6,High,26,1258,40,Karnataka,December,September,96,Blight,Chemical Pesticide,NPK,37,103,
Linseed,RD 2552,Zaid,Black Soil,5.9,High,19,722,62,Tamil Nadu,March,May,199,Leaf Spot,Neem Oil Spray,Potash,94,106,
Linseed,Japanese White,Annual,Black Soil,6.1,Medium,23,1567,62,Karnataka,May,May,177,Rust,Crop Rotation,Potash,36,133,
Linseed,Co 86032,Kharif,Sandy Loam,6,Low,30,784,43,Gujarat,July,October,127,Blight,Biological Control,Compost,47,145,
Linseed,Pratap Makka 5,Zaid,Alluvial,6.1,Medium,21,940,80,Uttar Pradesh,May,March,113,Wilt,Chemical Pesticide,DAP,33,75,
Linseed,UPAS 120,Kharif,Loamy,6.1,Low,36,1661,59,Uttar Pradesh,January,January,80,Bacterial Blight,Neem Oil Spray,Potash,111,40,
Linseed,Deccan 103,Rabi,Black Soil,7.3,Medium,23,1801,66,Madhya Pradesh,August,November,200,Bacterial Blight,Chemical Pesticide,Compost,102,111,
Linseed,KBSH 1,Rabi,Loamy,6.4,Low,37,1649,56,Bihar,January,April,66,Mildew,Crop Rotation,DAP,86,104,
Linseed,Pusa Ruby,Zaid,Sandy Loam,6.3,Low,32,1039,84,West Bengal,October,July,63,Wilt,Chemical Pesticide,NPK,120,126,
Linseed,T9,Rabi,Clayey,6.7,Low,36,642,43,West Bengal,October,October,91,Wilt,Integrated Pest Management,Nitrogen,60,94,
Linseed,ADT 43,Annual,Loamy,7.4,Medium,32,1847,58,Madhya Pradesh,December,November,62,Wilt,Biological Control,Potash,84,29,
Litchi,DHM 117,Zaid,Clayey,7.1,High,20,1699,71,West Bengal,April,September,115,Rust,Neem Oil Spray,Potash,118,73,
Litchi,TMV 7,Annual,Sandy Loam,7.6,Medium,38,2029,51,Maharashtra,November,September,145,Mildew,Biological Control,NPK,115,60,
Litchi,Varsha Uphar,Rabi,Black Soil,5.6,High,28,792,85,Bihar,May,December,103,Wilt,Crop Rotation,Compost,34,39,
Litchi,Pusa Snowball,Rabi,Black Soil,6.4,Low,37,547,53,Odisha,November,May,116,Rust,Neem Oil Spray,DAP,65,83,
Litchi,Pant Shubhra,Rabi,Sandy Loam,5.9,High,36,1156,64,Tamil Nadu,February,July,110,Wilt,Crop Rotation,Nitrogen,49,69,
Litchi,MTU1010,Kharif,Clayey,7,High,34,1751,63,West Bengal,February,September,158,Bacterial Blight,Neem Oil Spray,Nitrogen,96,27,
Litchi,Rohini,Annual,Sandy Loam,7.3,High,27,2191,80,Uttar Pradesh,July,June,98,Leaf Spot,Integrated Pest Management,Nitrogen,34,39,
Litchi,Pusa Kranti,Kharif,Black Soil,6.1,High,37,602,53,Punjab,April,June,158,Blight,Biological Control,Potash,84,64,
Litchi,Pusa Bold,Annual,Alluvial,6.9,Low,37,901,68,Haryana,October,November,94,Bacterial Blight,Crop Rotation,NPK,28,45,
Litchi,DPL 62,Rabi,Loamy,7.6,Medium,36,2197,47,Bihar,July,September,192,Blight,Chemical Pesticide,Potash,32,85,
Little Millet,NRC 37,Kharif,Loamy,6.6,High,27,1876,42,Bihar,January,January,113,Wilt,Integrated Pest Management,DAP,74,66,
Little Millet,CSH 16,Annual,Clayey,5.9,Low,25,1251,76,Telangana,November,July,156,Leaf Spot,Biological Control,Potash,116,117,
Little Millet,Pusa 256,Kharif,Black Soil,6.1,Medium,25,658,43,Karnataka,February,May,178,Bacterial Blight,Crop Rotation,Potash,64,130,
Little Millet,Bhima Super,Rabi,Black Soil,7.3,Low,23,818,41,West Bengal,November,February,148,Rust,Biological Control,NPK,75,63,
Little Millet,GPU 28,Annual,Loamy,6.9,Medium,30,1861,71,West Bengal,January,November,115,Wilt,Neem Oil Spray,Potash,114,111,
Little Millet,Samba Mahsuri,Annual,Black Soil,6,High,32,1878,44,Tamil Nadu,November,October,87,Wilt,Crop Rotation,Nitrogen,40,91,
Little Millet,Arka Anamika,Kharif,Black Soil,7.6,Low,19,2081,86,Gujarat,July,June,186,Bacterial Blight,Integrated Pest Management,Nitrogen,26,91,
Little Millet,Co 0238,Annual,Loamy,7.4,Medium,27,2058,56,Maharashtra,October,February,126,Bacterial Blight,Biological Control,Compost,90,17,
Little Millet,Pusa Rohini,Rabi,Black Soil,7.1,Medium,38,2099,44,Uttar Pradesh,December,August,139,Wilt,Chemical Pesticide,Nitrogen,113,82,
Little Millet,Arka Shirish,Kharif,Loamy,7,Low,33,1039,53,Odisha,August,August,181,Mildew,Neem Oil Spray,Potash,60,148,
Maize,Kranti,Zaid,Black Soil,6.9,High,30,1615,79,Karnataka,May,June,146,Leaf Spot,Biological Control,Nitrogen,106,32,
Maize,Varsha Uphar,Rabi,Clayey,6.7,Medium,34,1687,53,Punjab,August,September,180,Rust,Crop Rotation,Compost,114,25,
Maize,ADT 43,Rabi,Sandy Loam,5.8,High,27,1459,73,Rajasthan,May,August,98,Bacterial Blight,Biological Control,Nitrogen,56,106,
Maize,RT 46,Annual,Alluvial,6.4,Low,21,1364,40,Uttar Pradesh,April,December,99,Wilt,Integrated Pest Management,Compost,90,140,
Maize,ICPL 87119,Annual,Sandy Loam,7.7,Medium,19,993,78,Kerala,July,October,120,Leaf Spot,Integrated Pest Management,Potash,61,144,
Maize,LBG 20,Rabi,Clayey,7.3,Medium,34,1840,65,Uttar Pradesh,July,July,65,Wilt,Crop Rotation,NPK,40,40,
Maize,JS 335,Annual,Loamy,6.1,Medium,31,779,71,Madhya Pradesh,February,November,135,Mildew,Crop Rotation,NPK,45,135,
Maize,Pusa Kesar,Zaid,Alluvial,7.7,Medium,21,315,50,Karnataka,February,April,157,Leaf Spot,Crop Rotation,NPK,117,131,
Maize,Arka Shirish,Annual,Black Soil,6,High,25,1641,61,Bihar,October,August,175,Wilt,Neem Oil Spray,NPK,60,149,
Maize,GPU 45,Annual,Loamy,7.4,High,32,1589,70,Tamil Nadu,April,February,81,Bacterial Blight,Integrated Pest Management,Potash,104,134,
Mango,RD 2552,Annual,Clayey,6.3,Low,25,573,55,Bihar,June,February,176,Bacterial Blight,Chemical Pesticide,Potash,108,14,
Mango,Co 0118,Zaid,Sandy Loam,5.6,High,26,792,64,Maharashtra,May,December,178,Rust,Crop Rotation,Nitrogen,61,127,
Mango,Arka Shirish,Annual,Sandy Loam,6.2,Low,25,401,75,Odisha,November,November,117,Bacterial Blight,Neem Oil Spray,DAP,120,90,
Mango,Kufri Jyoti,Annual,Alluvial,6.2,High,31,398,56,Maharashtra,April,October,65,Wilt,Biological Control,Nitrogen,39,110,
Mango,TAG 24,Zaid,Alluvial,7.1,Low,21,1239,69,Kerala,February,February,60,Bacterial Blight,Crop Rotation,NPK,90,107,
Mango,Maruti,Zaid,Alluvial,6,High,27,1502,48,Kerala,July,August,86,Wilt,Integrated Pest Management,DAP,65,59,
Mango,SML 668,Annual,Sandy Loam,5.8,Low,29,611,49,Kerala,May,March,115,Mildew,Biological Control,DAP,68,94,
Mango,Golden Acre,Rabi,Sandy Loam,6.4,Medium,24,330,44,Odisha,August,April,158,Blight,Biological Control,DAP,39,116,
Mango,ICTP 8203,Annual,Loamy,7.6,Low,33,990,64,Uttar Pradesh,November,September,178,Rust,Integrated Pest Management,Potash,57,79,
Mango,CSV 20,Rabi,Alluvial,7.3,High,18,521,41,West Bengal,June,June,198,Bacterial Blight,Chemical Pesticide,Potash,53,42,
Mint,SML 668,Rabi,Black Soil,5.6,Low,27,1009,64,Andhra Pradesh,January,September,178,Blight,Neem Oil Spray,Compost,118,56,
Mint,KBSH 41,Rabi,Sandy Loam,6.3,Low,37,819,60,West Bengal,July,April,177,Rust,Chemical Pesticide,Nitrogen,71,83,
Mint,PBW 343,Kharif,Loamy,6.8,Low,37,2018,66,Telangana,November,September,123,Blight,Biological Control,Compost,31,38,
Mint,N53,Rabi,Loamy,6.1,Low,20,1503,73,Gujarat,October,December,113,Leaf Spot,Neem Oil Spray,NPK,22,145,
Mint,Kadiri 6,Rabi,Sandy Loam,7.3,High,23,1035,70,Gujarat,September,November,106,Mildew,Crop Rotation,NPK,49,138,
Mint,PL 406,Annual,Sandy Loam,7.4,High,37,1262,40,Uttar Pradesh,May,February,167,Wilt,Neem Oil Spray,Compost,74,12,
Mint,DBW 17,Kharif,Alluvial,5.8,Low,24,2165,88,Rajasthan,April,February,126,Wilt,Crop Rotation,Potash,108,121,
Mint,RT 46,Zaid,Black Soil,7.4,High,34,378,72,Haryana,October,July,139,Blight,Chemical Pesticide,NPK,92,100,
Mint,Varuna,Annual,Black Soil,7.2,High,34,571,46,Gujarat,April,March,154,Blight,Chemical Pesticide,Nitrogen,79,13,
Mint,CSV 20,Annual,Black Soil,5.8,High,29,621,40,Bihar,March,August,80,Leaf Spot,Integrated Pest Management,DAP,56,120,
Moth Bean,JS 335,Kharif,Loamy,6.9,High,18,719,48,Telangana,October,February,163,Mildew,Integrated Pest Management,DAP,59,53,
Moth Bean,Maruti,Zaid,Sandy Loam,6.3,High,23,1866,73,Uttar Pradesh,November,November,131,Leaf Spot,Neem Oil Spray,DAP,117,47,
Moth Bean,Pant U 19,Annual,Loamy,7.4,High,36,1888,81,Maharashtra,February,January,71,Mildew,Integrated Pest Management,NPK,89,85,
Moth Bean,HD 3086,Annual,Clayey,5.9,High,23,1561,51,Bihar,January,May,157,Rust,Chemical Pesticide,Nitrogen,65,149,
Moth Bean,Kufri Pukhraj,Kharif,Clayey,7.4,Medium,18,1542,78,Gujarat,April,May,65,Mildew,Chemical Pesticide,NPK,106,58,
Moth Bean,Pusa Chetki,Rabi,Sandy Loam,6.2,Low,25,910,40,Madhya Pradesh,August,November,200,Leaf Spot,Chemical Pesticide,Nitrogen,35,43,
Moth Bean,Pusa Purple Long,Rabi,Alluvial,7.8,Low,19,1588,86,Andhra Pradesh,July,February,140,Mildew,Crop Rotation,NPK,92,100,
Moth Bean,Pant Shubhra,Zaid,Black Soil,7,Low,30,1534,48,Haryana,January,June,153,Rust,Crop Rotation,DAP,38,24,
Moth Bean,Kufri Chipsona 1,Rabi,Black Soil,5.6,Low,19,940,41,Andhra Pradesh,November,December,84,Rust,Chemical Pesticide,Compost,71,111,
Moth Bean,HHB 67,Annual,Sandy Loam,5.5,Medium,26,1065,81,West Bengal,December,September,195,Bacterial Blight,Chemical Pesticide,Potash,49,140,
Muskmelon,HQPM 1,Annual,Clayey,6,Low,29,1326,43,Gujarat,June,October,172,Mildew,Chemical Pesticide,Compost,79,54,
Muskmelon,Pratap Makka 5,Zaid,Alluvial,6.8,Medium,27,1841,88,Gujarat,October,March,200,Blight,Chemical Pesticide,Compost,120,102,
Muskmelon,Pusa 256,Zaid,Alluvial,6.3,High,18,2033,85,Maharashtra,July,July,80,Wilt,Neem Oil Spray,Compost,44,91,
Muskmelon,Pusa Vishal,Rabi,Loamy,5.8,High,32,1630,71,West Bengal,December,November,78,Wilt,Chemical Pesticide,Compost,36,71,
Muskmelon,Bhima Super,Annual,Alluvial,7.6,Low,23,1597,48,Punjab,August,March,189,Blight,Chemical Pesticide,Potash,45,39,
Muskmelon,Pusa Chetki,Rabi,Loamy,5.9,High,32,1596,40,West Bengal,August,August,106,Rust,Integrated Pest Management,NPK,55,10,
Muskmelon,MACS 450,Annual,Clayey,5.9,Medium,31,1618,82,Punjab,April,August,182,Rust,Biological Control,NPK,28,102,
Muskmelon,IR36,Kharif,Black Soil,6.2,High,35,759,67,Karnataka,July,December,127,Leaf Spot,Neem Oil Spray,Nitrogen,43,41,
Muskmelon,Vivek QPM 9,Zaid,Clayey,7.3,Low,20,1893,53,Punjab,May,June,196,Rust,Biological Control,NPK,61,58,
Muskmelon,CSH 14,Zaid,Alluvial,6.7,Medium,21,666,54,Haryana,December,February,118,Blight,Chemical Pesticide,Compost,114,99,
Mustard,Pratap Makka 5,Rabi,Sandy Loam,6.1,High,32,1534,72,Telangana,November,November,107,Rust,Crop Rotation,Nitrogen,36,36,
Mustard,Vivek QPM 9,Kharif,Alluvial,5.7,High,31,1757,66,Telangana,September,February,127,Wilt,Chemical Pesticide,Compost,68,65,
Mustard,Mallika Bt,Rabi,Black Soil,7.1,Medium,37,344,46,Tamil Nadu,October,January,83,Mildew,Chemical Pesticide,Nitrogen,103,137,
Mustard,Nantes,Annual,Clayey,7.4,Low,18,1308,56,Uttar Pradesh,October,December,187,Wilt,Integrated Pest Management,DAP,48,146,
Mustard,Bunny Bt,Zaid,Alluvial,7.4,High,29,518,58,Telangana,December,September,170,Leaf Spot,Integrated Pest Management,Potash,56,48,
Mustard,Kufri Pukhraj,Kharif,Loamy,7.7,Medium,38,782,60,Kerala,February,July,119,Leaf Spot,Crop Rotation,Compost,25,110,
Mustard,DBW 17,Kharif,Loamy,7.6,Low,37,2015,87,Madhya Pradesh,February,May,75,Wilt,Biological Control,NPK,120,38,
Mustard,ML 365,Rabi,Loamy,6.1,High,19,1480,61,West Bengal,April,August,115,Mildew,Chemical Pesticide,Nitrogen,86,71,
Mustard,GHB 558,Annual,Clayey,5.7,High,30,669,44,Tamil Nadu,March,February,92,Blight,Biological Control,NPK,32,31,
Mustard,DPL 62,Annual,Loamy,6.5,High,28,833,88,Rajasthan,June,February,184,Rust,Neem Oil Spray,DAP,73,42,
Niger Seed,Maruti,Rabi,Sandy Loam,6.7,Medium,22,570,41,Madhya Pradesh,March,March,193,Rust,Integrated Pest Management,Nitrogen,56,83,
Niger Seed,Pusa Purple Long,Rabi,Loamy,5.9,Medium,32,2078,58,Karnataka,March,January,194,Bacterial Blight,Integrated Pest Management,DAP,97,36,
Niger Seed,RHB 121,Kharif,Black Soil,7.2,High,34,757,80,Punjab,July,June,84,Rust,Neem Oil Spray,Potash,51,118,
Niger Seed,JG 11,Annual,Alluvial,6.9,Medium,22,1159,47,Tamil Nadu,June,February,161,Mildew,Chemical Pesticide,DAP,77,42,
Niger Seed,ML 365,Annual,Sandy Loam,7.3,Medium,25,1134,41,Odisha,July,February,185,Bacterial Blight,Chemical Pesticide,NPK,106,46,
Niger Seed,RD 2035,Zaid,Loamy,7.6,Low,38,1722,65,Punjab,July,July,98,Wilt,Neem Oil Spray,Potash,36,63,
Niger Seed,JG 14,Kharif,Alluvial,7.3,Low,23,1182,53,Odisha,March,August,165,Bacterial Blight,Chemical Pesticide,NPK,26,150,
Niger Seed,Indaf 9,Annual,Sandy Loam,6,Medium,31,331,86,Kerala,October,March,149,Wilt,Crop Rotation,Nitrogen,111,108,
Niger Seed,TC 25,Zaid,Clayey,7.7,Low,26,861,81,Madhya Pradesh,June,March,147,Rust,Integrated Pest Management,Compost,113,59,
Niger Seed,GPU 28,Kharif,Black Soil,6.7,Medium,18,1107,79,Tamil Nadu,August,June,124,Leaf Spot,Crop Rotation,Compost,102,56,
Nutmeg,Golden Acre,Rabi,Loamy,6.8,Medium,28,709,49,Madhya Pradesh,November,September,200,Rust,Biological Control,Compost,120,84,
Nutmeg,Kufri Pukhraj,Zaid,Clayey,7,Low,37,1795,73,Maharashtra,July,September,96,Blight,Crop Rotation,Nitrogen,111,78,
Nutmeg,Arka Nidhi,Annual,Black Soil,6.2,High,26,1507,71,West Bengal,November,July,78,Wilt,Chemical Pesticide,NPK,23,15,
Nutmeg,Co 0238,Zaid,Loamy,5.9,Medium,30,1810,72,Madhya Pradesh,November,August,107,Wilt,Integrated Pest Management,Potash,31,94,
Nutmeg,UPAS 120,Zaid,Black Soil,5.8,Medium,34,1861,58,Rajasthan,March,September,76,Mildew,Crop Rotation,Nitrogen,94,88,
Nutmeg,Nantes,Zaid,Black Soil,5.8,High,23,1050,64,Bihar,July,May,182,Blight,Neem Oil Spray,DAP,69,99,
Nutmeg,Arka Shirish,Zaid,Alluvial,5.7,Medium,23,1531,84,Kerala,December,June,128,Leaf Spot,Integrated Pest Management,Nitrogen,118,76,
Nutmeg,NRC 37,Rabi,Sandy Loam,7.4,High,23,652,41,Kerala,June,December,69,Blight,Neem Oil Spray,Potash,89,77,
Nutmeg,TC 25,Zaid,Alluvial,5.7,Medium,30,1710,57,Telangana,September,April,136,Mildew,Integrated Pest Management,Potash,105,112,
Nutmeg,PL 639,Kharif,Black Soil,6.5,High,28,438,55,Uttar Pradesh,May,May,101,Bacterial Blight,Integrated Pest Management,DAP,45,46,
Okra,TC 25,Annual,Black Soil,6.5,High,21,777,72,Bihar,May,September,144,Bacterial Blight,Neem Oil Spray,Compost,79,102,
Okra,HD 3086,Kharif,Sandy Loam,7.2,Low,32,1077,45,Kerala,August,December,188,Rust,Biological Control,NPK,104,52,
Okra,JS 335,Rabi,Black Soil,6.8,Low,22,1744,73,Karnataka,November,February,115,Blight,Crop Rotation,Compost,112,129,
Okra,GHB 558,Zaid,Alluvial,7.3,Low,28,2165,65,Telangana,March,April,66,Rust,Neem Oil Spray,NPK,54,12,
Okra,RD 2035,Kharif,Black Soil,6.9,Medium,25,1975,74,Gujarat,December,September,162,Bacterial Blight,Chemical Pesticide,Potash,32,136,
Okra,Pusa 256,Kharif,Sandy Loam,6.9,Medium,30,1996,84,Gujarat,August,November,175,Blight,Crop Rotation,Potash,85,125,
Okra,Vivek QPM 9,Kharif,Black Soil,6.9,Low,22,1126,87,Odisha,August,April,74,Wilt,Crop Rotation,Compost,75,94,
Okra,Co 0238,Zaid,Sandy Loam,5.8,Medium,20,1568,61,Madhya Pradesh,October,October,61,Rust,Chemical Pesticide,Potash,108,55,
Okra,Rohini,Annual,Sandy Loam,6,Medium,18,1009,62,Odisha,November,January,190,Wilt,Biological Control,Potash,35,45,
Okra,Pusa Ruby,Kharif,Loamy,6.9,Low,34,1282,65,Rajasthan,October,April,127,Blight,Integrated Pest Management,Compost,31,147,
Onion,Co 0118,Zaid,Sandy Loam,6.1,Medium,33,2093,40,Haryana,March,July,72,Blight,Integrated Pest Management,DAP,70,20,
Onion,LBG 20,Kharif,Clayey,7,Low,36,1356,82,Odisha,April,November,183,Leaf Spot,Neem Oil Spray,DAP,52,25,
Onion,ICPL 87119,Annual,Alluvial,7,High,24,1588,45,Uttar Pradesh,December,June,175,Bacterial Blight,Integrated Pest Management,DAP,50,37,
Onion,RD 2668,Kharif,Clayey,7.5,High,27,893,65,Punjab,September,August,115,Wilt,Biological Control,DAP,23,97,
Onion,PL 406,Annual,Sandy Loam,6,Medium,30,684,48,Kerala,March,February,141,Wilt,Crop Rotation,Potash,21,140,
Onion,CSH 16,Kharif,Clayey,6.4,High,20,1313,53,Odisha,April,January,183,Bacterial Blight,Biological Control,Compost,102,131,
Onion,ICTP 8203,Zaid,Sandy Loam,6,Medium,21,907,46,Bihar,March,January,120,Mildew,Chemical Pesticide,Nitrogen,74,23,
Onion,Pusa Vishal,Kharif,Sandy Loam,7,High,35,1093,68,Odisha,April,December,61,Mildew,Integrated Pest Management,Nitrogen,115,37,
Onion,PBW 343,Rabi,Loamy,7.5,High,31,1008,60,West Bengal,April,November,86,Blight,Integrated Pest Management,Potash,110,145,
Onion,Co 99004,Rabi,Black Soil,6.9,Low,37,591,80,Madhya Pradesh,October,March,164,Leaf Spot,Integrated Pest Management,DAP,47,89,
Orange,LBG 20,Zaid,Loamy,5.5,High,19,2034,41,Tamil Nadu,May,June,118,Blight,Chemical Pesticide,Compost,83,58,
Orange,Pusa Chetki,Annual,Loamy,6.9,High,22,1585,63,Madhya Pradesh,December,August,63,Bacterial Blight,Neem Oil Spray,NPK,48,137,
Orange,T 13,Rabi,Black Soil,6.4,High,23,947,61,Gujarat,April,June,135,Mildew,Biological Control,DAP,60,84,
Orange,ML 365,Annual,Loamy,5.8,Low,36,1677,90,Maharashtra,August,January,103,Leaf Spot,Neem Oil Spray,DAP,79,17,
Orange,N53,Kharif,Black Soil,7.1,High,32,573,48,Madhya Pradesh,July,March,159,Wilt,Crop Rotation,Potash,59,20,
Orange,KBSH 41,Rabi,Black Soil,7.3,High,25,1523,58,Bihar,November,June,128,Blight,Chemical Pesticide,Compost,51,70,
Orange,CSH 16,Kharif,Clayey,7.2,Medium,25,1657,78,Maharashtra,September,February,62,Mildew,Neem Oil Spray,NPK,72,106,
Orange,Rohini,Zaid,Black Soil,6.6,Medium,37,844,49,Tamil Nadu,March,January,149,Bacterial Blight,Chemical Pesticide,NPK,88,125,
Orange,Japanese White,Annual,Clayey,5.8,Low,31,912,71,Gujarat,July,April,111,Mildew,Integrated Pest Management,NPK,35,47,
